# Documents that failed conversion — skipped on future runs
# Remove a line to retry that document on the next crawl
# url	filename	error	date
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/nationella-riktlinjer/2016-12-12.pdf	2016-12-12.pdf	Input document /tmp/tmpz4_krf06.pdf is not valid.	2026-04-13
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/nationella-riktlinjer/2017-10-22.pdf	2017-10-22.pdf	Input document /tmp/tmp6uhhojzm.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/ovrigt/2023-10-8755.pdf	2023-10-8755.pdf	Input document /tmp/tmpu113wfdv.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/foreskrifter-och-allmanna-rad/2022-6-8005.pdf	2022-6-8005.pdf	Input document /tmp/tmp6xlxm4gs.pdf is not valid.	2026-04-14
http://www.lakartidningen.se/OldPdfFiles/2003/26952.pdf	26952.pdf	Input document /tmp/tmpwjk68msv.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/meddelandeblad/2013-12-34.pdf	2013-12-34.pdf	Input document /tmp/tmpagynm8sa.pdf is not valid.	2026-04-14
https://www.scb.se/contentassets/f9ec479b50e64487a8a3bcc1366b2ed6/le0103_2010a01_br_le123br1201.pdf	le0103_2010a01_br_le123br1201.pdf	Timeout after 600s	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/foreskrifter-och-allmanna-rad/2022-11-8180.pdf	2022-11-8180.pdf	Input document /tmp/tmplnl1udn6.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/vagledning/2017-10-25.pdf	2017-10-25.pdf	Input document /tmp/tmpv5spq2di.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/foreskrifter-och-allmanna-rad/2022-6-7916.pdf	2022-6-7916.pdf	Input document /tmp/tmpeuvef4b2.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/ovrigt/2018-8-6.pdf	2018-8-6.pdf	Input document /tmp/tmpq3p15u36.pdf is not valid.	2026-04-14
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10766253/pdf/medi-103-e36850.pdf	medi-103-e36850.pdf	Input document /tmp/tmp6_mm0x17.pdf is not valid.	2026-04-14
https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/handbocker/2015-4-10.pdf	2015-4-10.pdf	Input document /tmp/tmp47p0erlj.pdf is not valid.	2026-04-14
